ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001213900-23-087519	0	4	1207631	
0001878326-23-000008	0	380	82589830	N
0001086763-23-000026	2	699	2140782035	
0001974403-23-000004	0	29	23087700	N
0001908938-23-000004	0	457	835343828	N
0001007280-23-000009	0	1980	22395099	N
0001084683-23-000009	0	99	845000885	N
0001890698-23-000003	0	101	108709986	N
0001449434-23-000043	1	82	9740728858	N
0001104659-23-118615	0	18	114464712	
0001120927-23-000008	0	527	4403376282	N
0001731927-23-000004	0	117	207318325	N
0001420506-23-002227	0	152	312913374	N
0001893893-23-000005	0	234	358076598	N
0001905128-23-000004	6	370	1291410673	N
0001398344-23-020754	0	448	294399904	
0000927337-23-000020	1	4393	97186379181	N
0001537720-23-000012	0	500	2298656501	
0001116247-23-000004	0	110	153047929	N
0001345576-23-000011	0	398	3943385	N
0000895421-23-000493	23	43247	983405444363	N
0001315785-23-000004	0	472	863778128	N
0001729254-23-000005	0	926	217014921	N
0001697024-23-000006	0	36	108112642	N
0001765380-23-000251	0	214	669551836	N
0001593324-23-000006	11	2222	4843356	N
0001600035-23-000005	0	931	908467863	N
0001737109-23-000005	25	1557	5668882543	N
0001630888-23-000006	0	0	0	N
0001964116-23-000005	1	34	235277872	
0001172661-23-004058	0	69	464497334	
0001184820-23-000004	0	192	275516188	N
0001599273-23-000005	0	92	202662480	N
0001089710-23-000004	0	101	244257	N
0001580642-23-006219	20	9158	5479526905	
0001513779-23-000004	0	73	179408	N
0001992110-23-000003	0	381	464906412	N
0001080374-23-000013	0	178	829098611	N
0001929986-23-000005	0	180	565712431	N
0001646639-23-000005	0	123	1181681811	N
0001214659-23-015189	0	64	176418871	
0000853758-23-000009	0	1952	26333176	N
0001600064-23-000005	3	1568	3287238540	N
0001839882-23-030742	0	49	178754431	
0001493152-23-041416	0	543	6093379	
0001013234-23-000004	0	77	134556667	N
0001206774-23-001248	8	2973	172064947213	
0001661149-23-000005	0	137	124817933	
0001632253-23-000004	0	59	188465	N
0001099281-23-000016	0	59	596451705	N
0001427514-23-000006	0	406	1956857840	N
0001849517-23-000009	0	26	259956368	N
0001426853-23-000004	0	449	3812881580	N
0001811739-23-000005	1	137	401480	N
0001104659-23-118477	0	61	2665984089	
0001594591-23-000008	0	12	151626130	N
0001924152-23-000004	0	102	112708997	
0001104659-23-118452	0	1	37587910	
0001362033-23-000011	0	1437	1167264000	N
0001713521-23-000004	0	96	197817157	N
0001864910-23-000004	0	581	349613	N
0001095449-23-000082	0	179	149599148	N
0000200724-23-000007	0	382	757087433	N
0001085146-23-004520	0	443	2063852759	N
0001549408-23-000005	0	51	81407201	N
0001405086-23-000275	1	12	153376241	N
0001420506-23-002219	0	347	441176109	N
0001172661-23-004057	0	88	278964430	
0001214659-23-015179	0	39	148777643	
0001578242-23-000004	3	197	4013093289	N
0001420506-23-002225	0	150	975886922	N
0001754960-23-000342	0	36	175319502	N
0001948391-23-000008	0	11	8849142759	N
0001085146-23-004525	0	67	170519658	N
0001213900-23-087183	0	57	169394667	
0001760444-23-000005	0	145	128387	N
0001959790-23-000005	0	102	156031966	N
0001085146-23-004523	0	162	444999572	N
0001050442-23-000014	0	65	4202796319	N
0001420506-23-002222	0	109	59851000	N
0001533964-23-000009	3	1223	1005974	N
0001316580-23-000008	0	47	4461303276	N
0001832521-23-000004	0	61	142305007	N
0001214659-23-015183	3	163	168542376	
0001085146-23-004522	0	117	317113272	N
0001214659-23-015166	0	494	1994923823	
0001698926-23-000004	0	112	146749	N
0001094584-23-000004	0	472	88817000	N
0001085146-23-004524	0	18	176511020	N
0001172661-23-004056	1	78	1094999859	
0001085146-23-004521	0	21	98728123	N
0001012975-23-000480	7	9	3128557621	N
0001085146-23-004518	0	48	125177356	N
0001754960-23-000340	0	38	117658863	N
0001104659-23-118269	0	125	285778357	
0001901865-23-000007	0	49	317292224	N
0001062993-23-020846	0	46	75475171	N
0001062993-23-020844	0	2685	26167354311	N
0001420506-23-002224	0	105	2636761482	N
