ACCESSION_NUMBER,OTHERINCLUDEDMANAGERSCOUNT,TABLEENTRYTOTAL,TABLEVALUETOTAL,ISCONFIDENTIALOMITTED,timestamp
0001769089-24-000003,0,131,618188,N,2023-10-01
0001376772-24-000005,0,159,385357573,N,2023-10-01
0001549408-24-000004,0,31,131790664,N,2023-10-01
0001398344-24-014731,0,728,348565280,,2023-10-01
0001080132-24-000005,0,92,243075741,N,2023-10-01
0001715635-24-000003,0,102,1052686713,N,2023-10-01
0001996449-24-000011,0,499,2427729472,N,2023-10-01
0002011591-24-000004,0,0,0,N,2023-10-01
0001868643-24-000003,0,264,2385517063,N,2023-10-01
0001799006-24-000005,0,45,208931516,N,2023-10-01
0001879635-24-000003,0,12,58190532,N,2023-10-01
0001085146-24-004021,0,15,31785110,N,2023-10-01
0001765924-24-000003,0,79,398943621,N,2023-10-01
0001879009-24-000003,0,0,0,N,2023-10-01
0001906827-24-000004,0,0,0,N,2023-10-01
0001879628-24-000004,2,1,46136339,N,2023-10-01
0001446179-24-000005,0,919,4334520294,N,2023-10-01
0001649553-24-000003,0,0,0,N,2023-10-01
0000950123-24-008846,0,6312,24027773851,N,2023-10-01
0000950123-24-008845,6,43,359560578,N,2023-10-01
0001728194-24-000003,2,144,115984440,N,2023-10-01
0001839852-24-000003,0,0,0,N,2023-10-01
0001136305-24-000006,0,0,0,N,2023-10-01
0001628277-24-000004,0,0,0,N,2023-10-01
0001444949-24-000004,0,0,0,N,2023-10-01
0001011712-24-000003,0,0,0,N,2023-10-01
0001446580-24-000004,0,0,0,N,2023-10-01
0000918950-24-000004,0,0,0,N,2023-10-01
0001728195-24-000003,0,4,326755682,N,2023-10-01
0001362033-24-000005,0,1577,1430596,N,2023-10-01
0001513779-24-000003,0,60,204261,N,2023-10-01
0001851813-24-000004,0,6,750205824,N,2023-10-01
0001725547-24-003951,0,26,178112940,N,2023-10-01
0002011548-24-000004,0,161,160999954,N,2023-10-01
0001661580-24-000010,0,273,8577194,N,2023-10-01
0001750585-24-000006,0,22,87963815,N,2023-10-01
0001012975-24-000342,3,47,1944209348,N,2023-10-01
0001764581-24-000005,0,68,338797682,N,2023-10-01
0001811739-24-000004,0,121,584792,N,2023-10-01
0001420506-24-001576,0,68,245120808,N,2023-10-01
0001095449-24-000065,0,247,146476749,N,2023-10-01
0002022297-24-000051,2,3083,8419772343,N,2023-10-01
0001085146-24-004016,1,114,208911649,N,2023-10-01
0002022297-24-000050,2,2978,8440203594,N,2023-10-01
0002022297-24-000046,2,2953,10680563199,N,2023-10-01
0001720350-24-000008,0,8,227570820,N,2023-10-01
0001595888-24-000051,5,14400,437681949411,N,2023-10-01
0001596468-24-000012,0,76,240505948,N,2023-10-01
0001698926-24-000004,0,127,183913614,N,2023-10-01
0001908965-24-000004,0,216,141792662,N,2023-10-01
0001085146-24-004014,0,49,511379422,N,2023-10-01
0001085146-24-004017,0,30,2696820899,N,2023-10-01
0001842785-24-000007,0,9,636931222,N,2023-10-01
0002022297-24-000048,2,2907,10189138131,N,2023-10-01
0001398344-24-014714,1,513,356713820,,2023-10-01
0001765380-24-000363,6,242,1487274564,N,2023-10-01
0001092838-24-000004,0,96,157052604,N,2023-10-01
0001776588-24-000003,0,104,684272935,N,2023-10-01
0001085146-24-004018,0,559,2153443673,N,2023-10-01
0001567619-24-000367,0,12,39607,N,2023-10-01
0001095449-24-000066,0,33,141926898,N,2023-10-01
0001817681-24-000004,0,2,139170200,N,2023-10-01
0000950123-24-008822,0,11,6650530988,N,2023-10-01
0001839498-24-000003,0,51,189370557,N,2023-10-01
0001095449-24-000067,0,109,130510936,N,2023-10-01
0001559789-24-000003,0,570,1532486657,N,2023-10-01
0001222765-24-000010,0,71,943004,,2023-10-01
0002033920-24-000001,0,64,251027539,N,2023-10-01
0000950123-24-008819,8,113,15947877174,N,2023-10-01
0001140361-24-037370,2,229,7849684137,,2023-10-01
0001632118-24-000004,0,34,200023308,N,2023-10-01
0002022297-24-000052,2,3111,8982539397,N,2023-10-01
0000950123-24-008809,0,931,14577329035,N,2023-10-01
0002007383-24-000005,0,48,23848636,N,2023-10-01
0001906793-24-000003,0,124,392582658,N,2023-10-01
0001542153-24-000009,0,1635,29707605,,2023-10-01
0001275218-24-000003,1,1482,3007118,N,2023-10-01
0001062993-24-015117,0,620,1606201773,N,2023-10-01
0001600136-24-000005,0,144,3619456648,N,2023-10-01
0001398344-24-014712,0,273,1127439641,,2023-10-01
0002022297-24-000053,2,3115,10349463831,N,2023-10-01
0001930102-24-000005,1,37,85925796,N,2023-10-01
0002022297-24-000049,2,2907,9075277644,N,2023-10-01
0001592178-24-000004,0,49,173895069,N,2023-10-01
0001172661-24-003582,3,2494,17964036064,,2023-10-01
0001944437-24-000003,0,929,222551828,N,2023-10-01
0001398344-24-014727,0,686,9862238948,,2023-10-01
0001221073-24-000074,0,503,1228022064,,2023-10-01
0002022297-24-000047,2,3001,9691724217,N,2023-10-01
0001012975-24-000341,3,47,1944209348,,2023-10-01
0001535387-24-000007,0,900,885437,N,2023-10-01
0001766520-24-000003,0,89,122871215,N,2023-10-01
0001062993-24-015113,0,2198,31071506447,N,2023-10-01
0002011802-24-000003,0,151,168461479,N,2023-10-01
0001540866-24-000004,0,11,770970997,N,2023-10-01
0001609251-24-000006,0,13,217801,N,2023-10-01
0001995383-24-000004,0,25,96445498,N,2023-10-01
0001085146-24-004015,0,350,138918955,N,2023-10-01
0002010145-24-000003,0,20,54963442,N,2023-10-01
0001672355-24-000006,0,22,799516345,,2023-10-01
0001085146-24-004019,0,18,54032338,N,2023-10-01
0000904454-24-000466,0,7,1417456505,,2023-10-01
0001964958-24-000003,0,589,888369403,N,2023-10-01
0002010474-24-000004,0,569,121762487,N,2023-10-01
0001787893-24-000006,0,21,397758973,N,2023-10-01
0002010204-24-000004,0,21,1125099351,N,2023-10-01
0001911348-24-000003,0,25,119319281,N,2023-10-01
0001467373-24-000228,0,1,0,N,2023-10-01
0001420506-24-001571,0,50,114847122,N,2023-10-01
0001911286-24-000004,0,0,0,N,2023-10-01
0002011550-24-000002,0,303,63596877,N,2023-10-01
0001764581-24-000004,0,75,210348699,N,2023-10-01
0001907054-24-000003,0,160,190696192,N,2023-10-01
0000950123-24-008806,0,24,4184710886,N,2023-10-01
0001214659-24-014751,0,117,705435789,,2023-10-01
0001214659-24-014750,0,7,89240348,,2023-10-01
0002010327-24-000003,0,58,136044837,N,2023-10-01
0001829805-24-000008,0,1,0,Y,2023-10-01
0001911286-24-000003,0,2,176619,N,2023-10-01
0001569137-24-000004,0,131,1251739233,N,2023-10-01
0001906640-24-000003,0,134,122929969,N,2023-10-01
0001821626-24-000006,0,1641,607477209,N,2023-10-01
0001963900-24-000005,0,74,131153908,N,2023-10-01
0002009426-24-000003,0,156,190212461,N,2023-10-01
0001830819-24-000006,0,2614,17893367680,N,2023-10-01
0001904326-24-000003,0,156,139562011,N,2023-10-01
0001104659-24-089743,0,62,2987451499,,2023-10-01
0001398344-24-014700,0,74,318845793,,2023-10-01
